ConditionName,TrialNumber,FittsID,CompletionTime,Errors
Sticky-Medium,43,0.053843703,893,0
Sticky-Medium,44,0.44943017,995,0
Sticky-Medium,45,0.59903544,994,1
Sticky-Medium,46,0.21404795,819,0
Sticky-Medium,47,0.43159768,650,0
Sticky-Medium,48,0.30880395,945,0
Sticky-Medium,49,0.54511756,488,0
Sticky-Medium,50,0.54908687,1089,0
Sticky-Medium,51,0.5512142,661,0
Sticky-Medium,52,0.29531744,1161,0
Sticky-Medium,53,0.65072757,766,1
Sticky-Medium,54,0.325937,830,0
Sticky-Medium,55,0.47024205,1122,0

Sticky-High,1,0.3570562,862,0
Sticky-High,2,0.3954,1166,0
Sticky-High,3,0.53626966,1083,0
Sticky-High,4,0.41376907,669,0
Sticky-High,5,0.42507297,1071,0
Sticky-High,6,0.40896794,1040,0
Sticky-High,7,0.5128147,565,0
Sticky-High,8,0.29012746,1202,0
Sticky-High,9,0.49839395,833,0
Sticky-High,10,0.51972187,1215,0
Sticky-High,11,0.46479622,1023,0
Sticky-High,12,0.41447377,1058,0
Sticky-High,13,0.51146215,913,0
Sticky-High,14,0.33608618,954,0
Sticky-High,15,0.36647514,929,0
Sticky-High,16,0.22153077,447,0
Sticky-High,17,0.44150934,656,0
Sticky-High,18,0.2844114,906,0
Sticky-High,19,0.5735954,986,0
Sticky-High,20,0.48907253,1184,0
Sticky-High,21,0.43593422,832,0
Sticky-High,22,0.5238637,896,0
Sticky-High,23,0.51498705,1160,0
Sticky-High,24,0.3103923,1453,0
Sticky-High,25,0.2238251,1028,0
Sticky-High,26,0.2552525,1299,0
Sticky-High,27,0.07434925,516,0
Sticky-High,28,0.71687734,1049,1
Sticky-High,29,0.38558546,996,0
Sticky-High,30,0.1601812,927,0
Sticky-High,31,0.42606613,737,0
Sticky-High,32,0.4646367,797,0
Sticky-High,33,0.40740395,900,0
Sticky-High,34,0.94077474,1352,1
Sticky-High,35,0.47114334,1182,0
Sticky-High,36,0.29472816,450,0
Sticky-High,37,0.40034646,695,0
Sticky-High,38,0.10202743,821,0
Sticky-High,39,0.4168363,742,0
Sticky-High,40,0.36898637,891,0
Sticky-High,41,0.33708748,847,0
Sticky-High,42,0.7142562,1194,1
Sticky-High,43,0.50719094,1222,0
Sticky-High,44,0.39629433,645,0
Sticky-High,45,0.53430086,1226,0
Sticky-High,46,0.46072197,1246,0
Sticky-High,47,0.58387655,916,0
Sticky-High,48,0.5382941,1253,0
Sticky-High,49,0.117030464,1015,0
Sticky-High,50,0.37573522,1165,0
Sticky-High,51,0.23602295,879,0
Sticky-High,52,0.4557777,826,0
Sticky-High,53,0.36802414,536,0
Sticky-High,54,0.44254947,903,0
Sticky-High,55,0.53089494,750,0

Gravity-Zero,1,0.0914391,898,0
Gravity-Zero,2,0.116493404,969,0
Gravity-Zero,3,0.2864097,665,0
Gravity-Zero,4,0.04184728,778,0
Gravity-Zero,5,0.40532017,968,0
Gravity-Zero,6,0.130842,622,0
Gravity-Zero,7,0.15515547,765,0
Gravity-Zero,8,0.18001322,611,0
Gravity-Zero,9,0.68348217,726,1
Gravity-Zero,10,0.31771415,788,0
Gravity-Zero,11,0.22202098,1035,0
Gravity-Zero,12,0.23312007,463,0
Gravity-Zero,13,0.22715716,869,0
Gravity-Zero,14,0.46988335,1078,0
Gravity-Zero,15,0.14095066,680,0
Gravity-Zero,16,0.47569486,816,0
Gravity-Zero,17,0.429325,865,0
Gravity-Zero,18,0.3662044,882,0
Gravity-Zero,19,0.48464933,816,0
Gravity-Zero,20,0.44161218,706,0
Gravity-Zero,21,0.27367082,919,0
Gravity-Zero,22,0.27367082,459,0
Gravity-Zero,23,0.15902317,779,0
Gravity-Zero,24,0.26501706,1086,0
Gravity-Zero,25,0.41357344,794,0
Gravity-Zero,26,0.38656825,757,0
Gravity-Zero,27,0.17683543,820,0
Gravity-Zero,28,0.22592817,771,0
Gravity-Zero,29,0.18979199,931,0
Gravity-Zero,30,0.26772082,1175,0
Gravity-Zero,31,0.10362814,766,0
Gravity-Zero,32,0.18002158,839,0
Gravity-Zero,33,0.066354156,770,0
Gravity-Zero,34,0.53858125,781,0
Gravity-Zero,35,0.38903072,866,0
Gravity-Zero,36,0.082448915,1017,0
Gravity-Zero,37,0.40669808,872,0
Gravity-Zero,38,0.42807642,1045,0
Gravity-Zero,39,0.39370036,654,0
Gravity-Zero,40,0.4485838,1194,0
Gravity-Zero,41,0.39718017,784,0
Gravity-Zero,42,0.3367378,962,0
Gravity-Zero,43,0.3844535,436,0
Gravity-Zero,44,0.21395381,679,0
Gravity-Zero,45,0.12130095,750,0
Gravity-Zero,46,0.4652718,866,0
Gravity-Zero,47,0.41062835,742,0
Gravity-Zero,48,0.42435366,790,0
Gravity-Zero,49,0.22243793,1055,0
Gravity-Zero,50,0.2826063,848,0
Gravity-Zero,51,0.3767274,940,0
Gravity-Zero,52,0.25773728,736,0
Gravity-Zero,53,0.44271284,904,0
Gravity-Zero,54,0.3379915,931,0
Gravity-Zero,55,0.3783422,569,0

Gravity-Low,1,0.35272762,998,0
Gravity-Low,2,0.5812777,685,0
Gravity-Low,3,0.3180951,1155,0
Gravity-Low,4,0.3706249,996,0
Gravity-Low,5,0.33122572,762,0
Gravity-Low,6,0.33827204,929,0
Gravity-Low,7,0.17556936,1311,0
Gravity-Low,8,0.21565059,628,0
Gravity-Low,9,0.30736288,1199,0
Gravity-Low,10,0.2213523,1084,0
Gravity-Low,11,0.3756236,939,0
Gravity-Low,12,0.24277288,1128,0
Gravity-Low,13,0.112600334,888,0
Gravity-Low,14,0.19681312,745,0
Gravity-Low,15,0.23971492,1191,0
Gravity-Low,16,0.53451735,1030,0
Gravity-Low,17,0.36012667,1117,0
Gravity-Low,18,0.13134031,805,0
Gravity-Low,19,0.39919475,1184,0
Gravity-Low,20,0.2659851,887,0
Gravity-Low,21,0.2035592,506,0
Gravity-Low,22,0.006969247,646,0
Gravity-Low,23,0.19395496,804,0
Gravity-Low,24,0.19834761,902,0
Gravity-Low,25,0.27584374,1160,0
Gravity-Low,26,0.30708987,1478,0
Gravity-Low,27,0.21478541,625,0
Gravity-Low,28,0.27023444,682,0
Gravity-Low,29,0.29527807,1105,0
Gravity-Low,30,0.38446295,960,0
Gravity-Low,31,0.11096322,1013,0
Gravity-Low,32,0.28294897,841,0
Gravity-Low,33,0.23067077,818,0
Gravity-Low,34,0.0629256,1022,0
Gravity-Low,35,0.55124825,1026,0
Gravity-Low,36,0.36994222,749,0
Gravity-Low,37,0.30623335,702,0
Gravity-Low,38,0.41925272,818,0
Gravity-Low,39,0.28755373,944,0
Gravity-Low,40,0.041143596,1019,0
Gravity-Low,41,0.466467,1063,0
Gravity-Low,42,0.14170787,833,0
Gravity-Low,43,0.45290732,811,0
Gravity-Low,44,0.33405802,937,0
Gravity-Low,45,0.1557725,746,0
Gravity-Low,46,0.21445608,641,0
Gravity-Low,47,0.23252721,1133,0
Gravity-Low,48,0.3088745,558,0
Gravity-Low,49,0.39721817,1025,0
Gravity-Low,50,0.2521467,1449,0
Gravity-Low,51,0.12864321,648,0
Gravity-Low,52,0.4159796,1189,0
Gravity-Low,53,0.18987568,947,0
Gravity-Low,54,0.420049,962,0
Gravity-Low,55,0.22857328,649,0

Gravity-Medium,1,0.34428588,1284,0
Gravity-Medium,2,0.34428588,428,0
Gravity-Medium,3,0.49347606,729,0
Gravity-Medium,4,0.43525416,992,0
Gravity-Medium,5,0.882154,1203,1
Gravity-Medium,6,0.20568527,1505,0
Gravity-Medium,7,0.48228222,875,0
Gravity-Medium,8,0.2996738,1411,0
Gravity-Medium,9,0.543092,773,0
Gravity-Medium,10,0.1261064,1278,0
Gravity-Medium,11,0.15639096,1815,0
Gravity-Medium,12,0.41148913,1201,0
Gravity-Medium,13,0.6128847,937,1
Gravity-Medium,14,0.48824322,848,0
Gravity-Medium,15,0.16540448,1199,0
Gravity-Medium,16,0.44476593,1001,0
Gravity-Medium,17,0.33675647,1175,0
Gravity-Medium,18,0.49713847,887,0
Gravity-Medium,19,0.40823254,1286,0
Gravity-Medium,20,0.07847953,1368,0
Gravity-Medium,21,0.45720604,1107,0
Gravity-Medium,22,0.49455777,1620,0
Gravity-Medium,23,0.22758847,721,0
Gravity-Medium,24,0.26413587,932,0
Gravity-Medium,25,0.111183755,942,0
Gravity-Medium,26,0.30193737,917,0
Gravity-Medium,27,0.4896635,1213,0
Gravity-Medium,28,0.20622951,1168,0
Gravity-Medium,29,0.24717174,933,0
Gravity-Medium,30,0.53256106,1911,0
Gravity-Medium,31,0.5061753,504,0
Gravity-Medium,32,0.18750808,917,0
Gravity-Medium,33,0.35331714,866,0
Gravity-Medium,34,0.34966525,700,0
Gravity-Medium,35,0.24605265,922,0
